Metric,Value,,
Number of Playlists,551,,
Number of Tracks (Total rows),165471,,
Tracks per playlist (Mean),300.31,,
Tracks per playlist (Median),126,,
Tracks per playlist (Max),1000,,
Tracks per playlist (Min),3,,
Playlists with 10 to 50 songs,135,,

Top 50 Tracks (TrackName),Track ID,Artist(s),Count,Playlists Count,Weighted Score
ARE WE STILL FRIENDS?,5TxRUOsGeWeRl3xOML59Ai,"Tyler, The Creator",33,33,0.0760
The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,Tame Impala,33,33,0.0621
505,58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,33,33,0.0957
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,System Of A Down,33,33,0.0621
Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,Eagles,32,32,0.1047
Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,32,31,0.1201
End of Beginning,3qhlB30KknSejmIvZZLjOD,Djo,32,32,0.1213
Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,32,32,0.0810
Exit Music (For A Film),0z1o5L7HJx562xZSATcIpY,Radiohead,31,31,0.0948
Scar Tissue,1G391cbiT3v3Cywg8T7DM1,Red Hot Chili Peppers,31,31,0.0664
King For A Day,1IT0WQk5J8NsaeII8ktdlZ,Pierce The Veil | Kellin Quinn,31,31,0.0732
All I Need,5Qv2Nby1xTr9pQyjkrc94J,Radiohead,31,31,0.1304
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,The Killers,31,31,0.0712
Heartless,4EWCNWgDS8707fNSZ1oaA5,Kanye West,31,31,0.0486
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,Outkast,31,31,0.0609
Basket Case,6L89mwZXSOwYl76YXfX13s,Green Day,30,30,0.0516
NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,"Tyler, The Creator",30,30,0.0530
All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,Kanye West | Syleena Johnson,30,30,0.0717
TV,3GYlZ7tbxLOxe6ewMNVTkw,Billie Eilish,30,30,0.2283

Top 50 Artists,Count,Playlists Count,Weighted Score,,
Drake,1932,96,3.0919,,
Kanye West,1743,126,3.3496,,
Kendrick Lamar,1383,110,2.2961,,
$uicideboy$,1224,46,1.6788,,
Phoebe Bridgers,1175,71,2.4995,,
Travis Scott,1107,85,1.5742,,
"Tyler, The Creator",936,102,1.9393,,
Future,877,77,1.2888,,
Lil Uzi Vert,824,79,1.2655,,
Radiohead,797,122,2.9273,,
21 Savage,735,70,1.0791,,
Playboi Carti,713,64,0.9861,,
Billie Eilish,679,111,2.6420,,
Lil Peep,657,63,1.3881,,
Mac Miller,653,67,0.9344,,
Eminem,652,97,1.2643,,
Taylor Swift,652,86,2.6345,,
The Weeknd,646,106,1.1855,,
My Chemical Romance,627,70,2.0612,,
J. Cole,615,74,0.9622,,
Juice WRLD,585,64,0.8559,,
Frank Ocean,577,91,1.1778,,
Metro Boomin,571,71,0.8804,,
XXXTENTACION,563,92,1.0757,,
Lana Del Rey,557,84,1.2251,,
Nirvana,550,80,0.9297,,
Deftones,520,64,1.6980,,
Pierce The Veil,503,49,1.0469,,
Arctic Monkeys,482,90,0.8770,,
A$AP Rocky,458,76,0.7444,,
Don Toliver,453,57,0.7080,,
,449,74,1.2532,,
SZA,449,77,0.7273,,
Gorillaz,441,76,0.7014,,
Rihanna,439,108,0.8612,,
Metallica,435,55,0.8258,,
Young Thug,433,61,0.5665,,
Lil Baby,433,51,0.5798,,
Linkin Park,432,90,1.3510,,
The Smiths,425,69,0.9118,,
Lady Gaga,423,102,1.0411,,
Lil Wayne,422,93,0.7069,,
Post Malone,419,84,0.6742,,
Gunna,417,53,0.6155,,
The Beatles,394,93,1.6063,,
Green Day,390,86,0.8466,,
Coldplay,390,127,2.0859,,
Panic! At The Disco,389,67,0.7210,,
System Of A Down,389,53,0.6177,,
Mitski,388,83,1.2598,,

Top 50 Playlist Title Keywords,Count,,
funeral,393,,
songs,135,,
play,96,,
playlist,50,,
music,30,,
grief,28,,
funerals,15,,
loss,13,,
missing,11,,
passed,10,,
away,10,,
best,10,,
dad,10,,
doom,9,,
