column,rank,value,count
description,5,"The biggest mix of Cavernous Death, Brutal Death, Slamming Death, Tech Death, Funeral Death, HxC Crossover Death, &amp; all the Death in between.",1000
description,6,why have multiple playlists when you can throw everything to a single one?,1000
description,7,⏳🎵  Avg. track length ~11:45🫡💤,1000
description,8,THE group chat playlist no judging 🌈💕😂🦄,1000
description,9,Doom Metal: Sub genre | Funeral Doom | Funeral Death | Funeral Sludge | Cover: Eye Of Solitude (Godless),1000
description,10,the soundtrack to my death,1000
description,11,The songs that get me through life,1000
description,12,All songs I like,1000
description,13,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,999
description,14,Play this on shuffle at my funeral &lt;3,999
description,15,Play this at my FUNERAL,999
description,16,smoke at my funeral,999
description,17,play this at my funeral or when u miss me 🖤,998
description,18,MOST IMPORTANT PLAYLIST EVER,998
description,19,On foenem,997
description,20,The songs I can bust a proper move to or the ones I used to listen to when I was a wee lad,996
description,21,"main playlist, remade the first 24 hours from the playlist I had a funeral for",996
description,22,ivyradio &#x2F; play these at my funeral,990
description,23,🪦,990
description,24,woah,983
description,25,ᵃ ᵖˡᵃʸˡⁱˢᵗ ᵒᶠ ᵉᵛᵉʳʸ ˢᵒⁿᵍ ᵗʰᵃᵗ ⁱ ᶜʰᵉʳⁱˢʰ ˙ᵕ˙,983
description,26,"basically some of my fav songs (1,000 diff genres)",974
description,27,"Up-Beat music, Dance music, Just music - Cause you know it will be a celebration when I go",951
description,28,Play this at my funeral,930
description,29,I&#x27;m going to hell. :3,924
description,30,play ts at my funeral or i’m haunting you.,923
description,31,Don&#x27;t actually,830
description,32,🥶🥶🥶,804
description,33,"For that autumn day, loads of albums from various funeral doom metal bands. \m&#x2F;",800
description,34,God approved this playlist,795
description,35,"A playlist with whatever genre or mood you&#x27;re feeling feat. Juice WRLD, Trippie Redd,  Juice Unrealeased, A Boogie wit da Hoodie, Lil Tecca and many others",742
description,36,no explicit songs in snoopy&#x27;s house,716
description,37,y=mx+b,707
description,38,"Balling ass jams to get your ego on. Pre interview&#x2F;current workout&#x2F;before first date mix&#x2F;funeral krunk&#x2F;wedding, no basic white girls&#x2F;fuck cops&#x2F;do drugs&#x2F;love making&#x2F;gardening&#x2F;art mix.",698
description,39,Watch the Party Die,687
description,40,I dedicate this list to the Holloway family. If it wasn&#x27;t for the family reunions weddings funerals block parties and many cookouts when I was a child this playlist wouldn&#x27;t exist,683
description,41,(un?)ironically made at a funeral : my favs ‼️💜,674
description,42,"Submerge into the depths.. (glaive, 2hollis, ericdoa, frost children, bassvictim,  kimj, juno, brakence, riovaz, kmoe, underscores, funeral, 100 gecs, Jane Remover, kurtains) small artists reach out to @dylanoes_",670
description,43,Why me?,668
description,44,10&#x2F;10,655
description,45,play this at my funeral,649
description,46,Previously called: &quot;Doth Mother Know You Wearith Her  Drapes&quot;,643
description,47,These songs are all of the songs I love,628
description,48,please play when i die so i can listen in the afterlife and won&#x27;t cry when i&#x27;m reborn :&#x27;),625
description,49,"Songs about grief, remembering, love, faith, hope. songs he liked and ones that remind us of him. see you on the other side",619
description,50,i’m having to redownload half my songs into lossless wth,613
ownerName,1,Spotify,2607
ownerName,2,Nova,1611
ownerName,3,K de los Cuetos,1000
ownerName,4,Alkvist,1000
ownerName,5,Jade Robinson,1000
ownerName,6,Mackenzie Johnke,1000
ownerName,7,Jayden Fobert,1000
ownerName,8,kassidywolfe04,1000
ownerName,9,Psuedo,1000
ownerName,10,Hiperbolekid,1000
ownerName,11,tericastellano,1000
ownerName,12,Jorge Guadarrama,1000
ownerName,13,SpicySaauce,1000
ownerName,14,clemence,1000
ownerName,15,J Trinidad Mendoza Chávez,1000
ownerName,16,Andre Anakin Guerra,1000
ownerName,17,Amina,1000
ownerName,18,Dalt,1000
ownerName,19,Yodamanbb8,1000
ownerName,20,Will,1000
ownerName,21,Rosie Poulton,1000
ownerName,22,jloganpuckett,1000
ownerName,23,valeriaosorno0507,1000
ownerName,24,Full_Metal_Gorilla 🦍,1000
ownerName,25,Neptunez🪽,1000
ownerName,26,Arsenii Matveev,1000
ownerName,27,Funeral Doom,1000
ownerName,28,Mitch Ihrig,1000
ownerName,29,Mango,1000
ownerName,30,hamdy,1000
ownerName,31,Nicolas Leira,1000
ownerName,32,Chris Glenn,1000
ownerName,33,zer0,1000
ownerName,34,𝒦𝒾𝓇𝒶  ࿔❀࿔,1000
ownerName,35,HecSwavy,1000
ownerName,36,nelee.ms,1000
ownerName,37,Jacob norc,1000
ownerName,38,Kaylana Renee Hoffman,1000
ownerName,39,Joshua Baxter,1000
