Metric,Value,,
Number of Playlists,641,,
Number of Tracks (Total rows),172381,,
Tracks per playlist (Mean),268.93,,
Tracks per playlist (Median),93,,
Tracks per playlist (Max),1000,,
Tracks per playlist (Min),3,,
Playlists with 10 to 50 songs,207,,

Top 50 Tracks (TrackName),Track ID,Artist(s),Count,Playlists Count,Weighted Score
dying,6,,
soundtrack,6,,
metal,6,,
setlist,6,,
new,5,,
died,5,,
party,5,,
gospel,5,,
tour,5,,
put,5,,
losing,5,,

Top 50 Playlist Description Keywords,Count,,
funeral,99,,
playlist,80,,
songs,61,,
more,43,,
x27,38,,
spotify,27,,
href,26,,
play,24,,
all,24,,
quot,24,,
music,23,,
when,21,,
death,21,,
x2f,21,,
one,19,,
loved,14,,
loss,12,,
sad,11,,
doom,11,,
will,11,,
grief,11,,
funerals,11,,
tracks,10,,
love,10,,
can,10,,
like,10,,
amp,10,,
dermot,10,,
kennedy,10,,
just,9,,
played,9,,
essential,9,,
listen,9,,
mix,9,,
metal,9,,
portrait,8,,
2026,8,,
about,8,,
someone,8,,
out,8,,
have,7,,
lost,7,,
what,7,,
grace,7,,
cry,7,,
also,7,,
losing,7,,
life,7,,
list,7,,
dead,7,,
