name,description,ownerV2/__typename,ownerV2/data/__typename,ownerV2/data/name,ownerV2/data/uri,ownerV2/data/username,playlistUrl,uri
#2 Black funeral music,,UserResponseWrapper,User,Mountcastle,spotify:user:e4tj0qbdbebl26lc9vukjwxza,e4tj0qbdbebl26lc9vukjwxza,https://open.spotify.com/playlist/4q7DA7B4dd1Bz1Q3AfzBbe,spotify:playlist:4q7DA7B4dd1Bz1Q3AfzBbe
 Christian funeral music,,UserResponseWrapper,User,Justin Sopay,spotify:user:1294854549,1294854549,https://open.spotify.com/playlist/0AQmZlWw5cuW6FyZ0KtYdD,spotify:playlist:0AQmZlWw5cuW6FyZ0KtYdD
The Funeral Portrait Radio,"With NOTHING MORE, Dead Eyes, The Pretty Wild and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E4xLGarwD2P9E,spotify:playlist:37i9dQZF1E4xLGarwD2P9E
funeral: complete,,UserResponseWrapper,User,funeral,spotify:user:21reexf7adw5lpxo7eze75qoa,21reexf7adw5lpxo7eze75qoa,https://open.spotify.com/playlist/1BvSY69SeQ1Pqx8TAUnHzU,spotify:playlist:1BvSY69SeQ1Pqx8TAUnHzU
This Is The Funeral Portrait,"This is The Funeral Portrait. The essential tracks, all in one playlist.",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1DZ06evO2vZrQQ,spotify:playlist:37i9dQZF1DZ06evO2vZrQQ
Funeral Radio,"With Phoebe Bridgers, Leith Ross, Better Oblivion Community Center and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8N4G0LOppSKd,spotify:playlist:37i9dQZF1E8N4G0LOppSKd
Funeral songs,,UserResponseWrapper,User,zanele mabizela,spotify:user:31zt5wrkczfwlqxwfwexaeaebdie,31zt5wrkczfwlqxwfwexaeaebdie,https://open.spotify.com/playlist/5t5dDVneRtigZSt2GCXghK,spotify:playlist:5t5dDVneRtigZSt2GCXghK
The Funeral Radio,"With Band of Horses, Death Cab for Cutie, The Shins and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8LB9HjXzHpce,spotify:playlist:37i9dQZF1E8LB9HjXzHpce
Funeral Radio,"With Dermot Kennedy, Darren Kiely, Lewis Capaldi and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8NJ9ezMeNr6p,spotify:playlist:37i9dQZF1E8NJ9ezMeNr6p
THREE DAYS GRACE / I PREVAIL Alienation Tour 2026 Setlist Playlist,"Recent setlist playlist of THREE DAYS GRACE, I PREVAIL &amp; THE FUNERAL PORTRAIT going on the Alienation Tour in Feb, Mar, Oct &amp; Nov 2026. #ThreeDaysGrace #IPrevail #TheFuneralPortrait #SetlistGuy @ThreeDaysGrace @IPrevail @TheFuneralPortrait @SetlistGuy",UserResponseWrapper,User,Setlist Guy Setlist Playlists,spotify:user:126507256,126507256,https://open.spotify.com/playlist/0MPmzdjz6KK4J17gY7cSrW,spotify:playlist:0MPmzdjz6KK4J17gY7cSrW
