playlist_id,name,description,owner_name,owner_id,owner_image,playlistUrl,uri,followers,totalTracks
1tiU5JRVNM2H1e0P3zFd7H,play this at my funeral,,vivi,3156vwyun542kyttr7tsd4v73u4q,https://i.scdn.co/image/ab6775700000ee8524c5c6eea19d9da625afd723,https://open.spotify.com/playlist/1tiU5JRVNM2H1e0P3zFd7H,spotify:playlist:1tiU5JRVNM2H1e0P3zFd7H,,99
1tz1zJiADbJ42fPVAQJkcz,⚰️The Funeral Portrait,,Suzie.Oneal,0rh4si7pk0bco5611rxe83deg,,https://open.spotify.com/playlist/1tz1zJiADbJ42fPVAQJkcz,spotify:playlist:1tz1zJiADbJ42fPVAQJkcz,,16
6aFMgBI6SHE0eEFSmT9J7L,play this in my funeral ,,Priela,313trhikg3yfu4veqd2lqa5gyhy4,https://i.scdn.co/image/ab6775700000ee85e2071327c609ae63e0125751,https://open.spotify.com/playlist/6aFMgBI6SHE0eEFSmT9J7L,spotify:playlist:6aFMgBI6SHE0eEFSmT9J7L,,228
0C5QNk9C6eP8hA88mP0IEq,Funeral ,,Shannon Robinson,22rlnmfbvevfum7tkv3lmqcka,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=780428295302326&height=300&width=300&ext=1776561170&hash=AT-F9HpxwKJ-8bOljaGnYWxy,https://open.spotify.com/playlist/0C5QNk9C6eP8hA88mP0IEq,spotify:playlist:0C5QNk9C6eP8hA88mP0IEq,,37
4lx4G2oij84baTkGBEpw9k,play at my funeral,,Nova,tututututupac,https://i.scdn.co/image/ab6775700000ee85b753df7742e9261b9308f43b,https://open.spotify.com/playlist/4lx4G2oij84baTkGBEpw9k,spotify:playlist:4lx4G2oij84baTkGBEpw9k,,1193
2c3YEaOhStnNbPeFSls12V,Play any of these at my funeral,,Ellie,q41bhpcij5hrqx60laxtrp1hh,https://i.scdn.co/image/ab6775700000ee85b2c6c7d7a1ec7d10735fa13b,https://open.spotify.com/playlist/2c3YEaOhStnNbPeFSls12V,spotify:playlist:2c3YEaOhStnNbPeFSls12V,,445
5CgzOstY2InZXJ6f7s5xZs,songs to play at my funeral ,,Natalie,31ek4wcffa6t5qdate6jxvambjzq,https://i.scdn.co/image/ab6775700000ee853b430f8d638abfd6e0b46854,https://open.spotify.com/playlist/5CgzOstY2InZXJ6f7s5xZs,spotify:playlist:5CgzOstY2InZXJ6f7s5xZs,,351
4loMkCjwF54nrvTTQ54AeG,2026 March (Laughing At Funerals),I just aint fell on no good ones. BM Cormac McCarthy,Chris,sd0dzvq85kzgbkmojmab6b58f,https://i.scdn.co/image/ab6775700000ee85ff8798464badb1e2e1be77f8,https://open.spotify.com/playlist/4loMkCjwF54nrvTTQ54AeG,spotify:playlist:4loMkCjwF54nrvTTQ54AeG,,97
3EtsI9dtnYfuieNUzIJYSX,Joe's Funeral Jams,,TheButcherATX,0uonj4307i6i0x9c2vqwmjqms,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=623652267715850&height=300&width=300&ext=1776561162&hash=AT_ZvOGeLE_-4eJIamVfKRxI,https://open.spotify.com/playlist/3EtsI9dtnYfuieNUzIJYSX,spotify:playlist:3EtsI9dtnYfuieNUzIJYSX,,48
7c1hPvpj9GhjNamWU7yTL4,Romina funeral,,Romina,31molqhsl2rkmeg6c4ra5ffkw2ci,,https://open.spotify.com/playlist/7c1hPvpj9GhjNamWU7yTL4,spotify:playlist:7c1hPvpj9GhjNamWU7yTL4,,37
0pWGeedvQnp4yrL5PiYST4,Play these at my funeral ,,Alyssa,9jgd1zoviyu6iun6hmelg2g6o,,https://open.spotify.com/playlist/0pWGeedvQnp4yrL5PiYST4,spotify:playlist:0pWGeedvQnp4yrL5PiYST4,,163
3TEiA3E22nqXtyYCpUrSSD,Funeral Song's,,Joseph l kinnaird,ulf4cecnvs9xqi4ns3dq0599d,https://i.scdn.co/image/ab6775700000ee856f86bc9b02b515c09d8c9176,https://open.spotify.com/playlist/3TEiA3E22nqXtyYCpUrSSD,spotify:playlist:3TEiA3E22nqXtyYCpUrSSD,,21
4bT2scyQdscCUNQHTXJivx,play this @ my funeral ,,yazzy,4qrqwsz662gixujzc2tfrmygw,https://i.scdn.co/image/ab6775700000ee85b3c2c91152b3a092d58e9b09,https://open.spotify.com/playlist/4bT2scyQdscCUNQHTXJivx,spotify:playlist:4bT2scyQdscCUNQHTXJivx,,165
36uqt65mnYKKUICFAlHMQ5,Adams funeral songs,,adam,7lpby4nl075fl1vrafunp4ece,,https://open.spotify.com/playlist/36uqt65mnYKKUICFAlHMQ5,spotify:playlist:36uqt65mnYKKUICFAlHMQ5,,87
62BNORso2cJWLZHoA8hUIT,Play ts at my funeral,,shit_hurt.268,31phoiwspkzp22foc6dntqg5jc44,,https://open.spotify.com/playlist/62BNORso2cJWLZHoA8hUIT,spotify:playlist:62BNORso2cJWLZHoA8hUIT,,62
23S6Ldh5pPMxGob6NhvN6w,At my funeral,,Sebastian,31hcfx2w5hxsygdwsiu3wkijnuye,https://i.scdn.co/image/ab6775700000ee85e5949c87c009457617fda053,https://open.spotify.com/playlist/23S6Ldh5pPMxGob6NhvN6w,spotify:playlist:23S6Ldh5pPMxGob6NhvN6w,,354
6TflHoDG0oDGqbli1uMi9l,Play in my funeral,,Lesley,3145cct6evuupzeuroieecam4zy4,,https://open.spotify.com/playlist/6TflHoDG0oDGqbli1uMi9l,spotify:playlist:6TflHoDG0oDGqbli1uMi9l,,85
64V8irX6rhtO9MU7w4XhHd,Funeral,,Americanpie,0g77gmb96lnsogquwgzh9g923,,https://open.spotify.com/playlist/64V8irX6rhtO9MU7w4XhHd,spotify:playlist:64V8irX6rhtO9MU7w4XhHd,,308
7y3ZzwApVP4tVlUYQNYNGL,Funeral  playlist ,,Alex,31scl4qcuywpsvb5ut67yo4acdoy,,https://open.spotify.com/playlist/7y3ZzwApVP4tVlUYQNYNGL,spotify:playlist:7y3ZzwApVP4tVlUYQNYNGL,,83
2O9X18LUpZf88imvQpI8Dv,Funeral songs 4 G,,Adamgurrola,31m2zzj7ztx7kn53yerropb5he3m,,https://open.spotify.com/playlist/2O9X18LUpZf88imvQpI8Dv,spotify:playlist:2O9X18LUpZf88imvQpI8Dv,,28
1sOpAffgUSWCb96ItXD2eX,My Funeral,,Connie,31ualahv6d2vwsopcdzbhtr444iu,https://i.scdn.co/image/ab6775700000ee857a973ceac85136c686316a0a,https://open.spotify.com/playlist/1sOpAffgUSWCb96ItXD2eX,spotify:playlist:1sOpAffgUSWCb96ItXD2eX,,119
1kYjPPuyqqhUhLxvuUT0S4,Playlist for my Funeral,,shane,31elfvkd2e5ucdrryynlp7gxsyiu,https://i.scdn.co/image/ab6775700000ee85a2dd1b7ee4a10be5a0af7b4e,https://open.spotify.com/playlist/1kYjPPuyqqhUhLxvuUT0S4,spotify:playlist:1kYjPPuyqqhUhLxvuUT0S4,,150
0E8F8SikOV9ldBHsUIoJXl,new scores that i want played at my funeral,🧎‍➡️🧎‍➡️Nobuo Uematsu 🧎🧎,paolo,gpbjbsneijjgwd95dcyt97hug,https://i.scdn.co/image/ab6775700000ee85801872749964984fa4badc80,https://open.spotify.com/playlist/0E8F8SikOV9ldBHsUIoJXl,spotify:playlist:0E8F8SikOV9ldBHsUIoJXl,,148
32cQZNV7feoMabDz6ukcd5,Play this at my funeral.,"and always remember, it’s better to feel pain then nothing at all.",JRA,krhesdnzkgbx4z2bpq9nr9q4r,https://i.scdn.co/image/ab6775700000ee8583a10594d8f580ae6dddef36,https://open.spotify.com/playlist/32cQZNV7feoMabDz6ukcd5,spotify:playlist:32cQZNV7feoMabDz6ukcd5,,8
5tade2Eda0E9flN0EpvwWx,Funebri,,laurent,31gidgk35z6fl3ihr7pqlx7chyum,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=159287592705609&height=300&width=300&ext=1776531271&hash=AT8xtlyvy2-56EE0-_-c57-v,https://open.spotify.com/playlist/5tade2Eda0E9flN0EpvwWx,spotify:playlist:5tade2Eda0E9flN0EpvwWx,,42
0fvTzHWzveXYieoR3DCYaZ,Play This At My Funeral,,Rafota,31jsmadglncgw36sa7ksyd5rx4aq,https://i.scdn.co/image/ab6775700000ee85f1a917154ba5b495da9815cc,https://open.spotify.com/playlist/0fvTzHWzveXYieoR3DCYaZ,spotify:playlist:0fvTzHWzveXYieoR3DCYaZ,,133
6htcGqrbIS4R6KXipzcSBS,i’d like to start planning my funeral,,elissa,90fx7aqvhmxb1ofm3ujxq62fl,https://i.scdn.co/image/ab6775700000ee85f391c6bd1a9042b37fb7ad72,https://open.spotify.com/playlist/6htcGqrbIS4R6KXipzcSBS,spotify:playlist:6htcGqrbIS4R6KXipzcSBS,,18
